elapsed_time(s), tput(ops/s), num_active_workers
0.063678, 15726.200805, 2
1.137246, 13613.751566, 0
1.714255, 12998.449597, 1
2.026212, 16159.888523, 0
2.226370, 13319.056370, 2
2.354504, 15260.076492, 0
2.462729, 13004.102404, 2
2.542276, 15663.261923, 0
2.645077, 10538.746852, 0
2.693809, 22342.399507, 0
2.799683, 9635.526943, 0
2.850143, 20239.442727, 2
2.912256, 16247.764369, 2
2.987732, 13306.253511, 0
3.069710, 12223.272296, 0
3.194188, 8041.140081, 2
3.303750, 9136.231360, 2
3.363678, 16714.438202, 2
3.412659, 20466.069293, 2
3.493824, 12334.009821, 1
3.563500, 14380.865281, 0
3.648587, 11767.488824, 1
3.746218, 10251.111326, 0
3.825450, 12637.807072, 1
3.892507, 14930.018821, 0
3.971017, 12749.490801, 2
4.052455, 12295.175743, 0
4.111998, 16815.994096, 2
4.174770, 15950.940776, 2
4.253147, 12772.156291, 1
4.319499, 15091.005706, 2
4.380432, 16431.630000, 0
4.456816, 13105.440899, 2
4.546779, 11418.211522, 2
4.606985, 16630.920443, 2
4.694596, 11423.981599, 2
4.777370, 12098.964984, 2
4.851101, 13596.882616, 1
4.927844, 13053.159960, 2
5.026554, 10138.406998, 1
5.086930, 16582.869832, 2
5.142820, 17925.321497, 2
5.260059, 8537.347990, 2
5.338696, 12730.298094, 0
5.431489, 10791.152248, 0
5.485037, 18711.937580, 2
5.568185, 12043.992030, 2
5.640579, 13828.186416, 2
5.745446, 9545.220453, 2
5.851095, 9475.951457, 0
5.936420, 11731.202259, 0
5.991244, 18265.597830, 0
6.037616, 21609.876595, 0
6.159803, 8189.324472, 0
6.233467, 13589.246753, 1
6.303623, 14277.838222, 0
6.355475, 19318.987903, 1
6.417995, 16015.648185, 0
6.515532, 10260.877579, 2
6.599153, 12000.749615, 0
6.751473, 6574.087647, 2
6.796034, 22481.054092, 2
6.897910, 9826.036605, 0
7.018571, 8299.059876, 2
7.113396, 10562.129859, 2
7.191393, 12838.716474, 1
7.260073, 14596.279321, 0
7.346628, 11564.901795, 2
7.433474, 11529.776646, 2
7.485704, 19178.064958, 1
7.588205, 9767.569357, 0
7.703115, 8710.301841, 1
7.789124, 11637.649449, 1
7.846872, 17365.207310, 0
7.979863, 7523.924519, 1
8.084818, 9534.813607, 0
8.160107, 13303.066905, 2
8.251177, 10989.760587, 0
8.385027, 7756.430280, 0
8.464542, 12592.335979, 2
8.536480, 13929.857567, 2
8.607625, 14088.996273, 2
8.663917, 17800.077081, 0
8.761487, 10270.220068, 0
8.811187, 20163.973432, 0
8.880777, 14399.728041, 2
8.953824, 13716.342633, 1
9.030060, 13138.481075, 0
9.106277, 13135.895396, 1
9.207137, 9928.600653, 0
9.298118, 11009.352643, 0
9.372232, 13506.793336, 2
9.507378, 7403.583484, 0
9.592903, 11707.039896, 2
9.682956, 11113.813744, 0
9.753750, 14142.925692, 0
9.846044, 10859.630544, 1
9.923003, 13007.921616, 0
10.006867, 11934.687850, 1
10.095712, 11275.468860, 2
10.171002, 13314.777682, 2
