num_keys, runtime(s),avg_cpu_usage(%)
1000, 0.000000, 61.888433
1500, 0.000000, 61.889850
2000, 0.000000, 61.526231
2500, 0.000000, 60.183346
3000, 0.000000, 62.124779
3500, 0.000000, 57.651167
4000, 0.000000, 61.003783
4500, 0.000000, 62.178662
5000, 0.000000, 61.313614
5500, 0.000000, 60.150862
6000, 0.000000, 62.041200
6500, 0.000000, 61.657971
7000, 0.000000, 62.289292
7500, 0.000000, 61.044607
8000, 0.000000, 62.153661
8500, 0.000000, 61.543223
9000, 0.000000, 62.774301
9500, 0.000000, 59.602014
10000, 0.000000, 61.904921
