time(s), tput(ops/s), num_workers, cpu(%)
0.001065, 55813.725041, 2, 0.000000
0.501422, 600413.084202, 2, 0.000000
1.002626, 232295.861301, 2, 25.000000
1.504466, 277452.349293, 2, 0.000000
2.007889, 267556.380818, 2, 16.666667
2.513781, 289218.895683, 2, 3.125000
3.021533, 428008.330112, 2, 28.125000
3.532051, 627553.357724, 2, 29.687500
4.049567, 744208.459301, 2, 29.166667
4.580646, 833320.529711, 2, 44.000000
5.138172, 894654.267760, 2, 29.787234
5.749100, 925794.153955, 2, 29.597701
6.491356, 846040.513460, 2, 43.728261
7.525561, 767214.351885, 2, 42.577620
8.984807, 854184.207577, 2, 49.495805
11.533986, 799617.456059, 2, 41.326411
16.288871, 770157.290776, 2, 53.125363
25.347699, 765724.073780, 2, 55.680120
43.189201, 755836.642759, 2, 45.702205
61.073234, 753988.579741, 2, 47.959176
