time(s), tput(ops/s), num_workers, cpu(%)
0.001277, 44121.786721, 2, 0.000000
0.502930, 72755.422462, 2, 0.000000
1.006590, 61966.315111, 2, 0.000000
1.512901, 67098.861617, 2, 17.500000
2.525992, 200501.655141, 2, 22.321429
3.042542, 195204.651336, 2, 15.178571
3.573658, 206944.066349, 2, 14.500000
4.132894, 216779.065483, 2, 14.095745
4.750954, 217179.799330, 2, 14.095745
5.525433, 186765.221117, 2, 14.772913
6.546843, 196518.795057, 2, 28.353603
8.035161, 207259.884667, 2, 28.816090
10.595311, 198840.258464, 2, 40.141657
15.285995, 195490.911539, 2, 43.587418
24.224607, 194161.482223, 2, 42.028461
41.698957, 193046.330946, 2, 47.985415
59.158148, 193218.411536, 2, 51.182691
68.194349, 191940.242097, 2, 49.008669

