time(s), tput(ops/s), num_workers, cpu(%)
0.000502, 125775.088986, 0, 0.000000
0.501164, 231344.923714, 1, 0.000000
1.002037, 284137.727239, 0, 0.000000
1.504101, 210238.289333, 0, 0.000000
2.007560, 239861.144384, 0, 25.000000
2.513805, 262471.109723, 0, 15.625000
3.024486, 303093.447499, 2, 28.571429
3.545271, 310189.978276, 0, 48.897059
4.086532, 311611.921240, 2, 44.299242
4.667141, 318314.124837, 2, 42.109995
5.318141, 339503.394195, 2, 40.584296
6.114008, 346330.761543, 2, 40.945140
7.234268, 330279.209125, 0, 37.710818
8.949296, 337164.119734, 2, 44.229032
11.711058, 362221.852572, 2, 37.584003
16.993543, 342598.812479, 0, 40.753342
27.618289, 323650.661506, 2, 38.356515
48.040342, 328964.693068, 1, 38.641596
68.605360, 326621.598063, 0, 41.314122
