time(s), tput(ops/s), num_workers, cpu(%)
0.001276, 45168.709647, 2, 0.000000
0.502005, 184813.163133, 2, 0.000000
1.005532, 62911.737663, 2, 0.000000
1.509712, 102541.254269, 2, 22.916667
2.522271, 201795.322536, 2, 12.500000
3.036991, 219980.831420, 2, 13.636364
3.568049, 207265.860178, 2, 14.423077
4.129765, 208036.150442, 2, 14.030612
4.755543, 203874.203978, 2, 14.015152
5.527122, 188762.829319, 2, 14.062500
6.564738, 190584.605323, 2, 27.902328
8.063008, 205178.600683, 2, 30.006338
10.616957, 199440.736622, 2, 39.891757
15.358521, 193144.769562, 2, 48.576885
24.371343, 192466.685882, 2, 53.913068
41.961054, 191743.073831, 2, 45.525491
59.627676, 190884.456769, 2, 46.492038
67.705399, 216218.743724, 2, 19.860109
