
time(s), tput(ops/s), num_workers, cpu(%)
0.001775, 619544.523257, 2, 0.000000
2.801850, 377956.089062, 2, 0.000000
3.030648, 365421.347257, 2, 0.000000
4.110372, 380980.392082, 2, 0.000000
4.331215, 820683.859446, 2, 0.000000
4.748015, 402587.510447, 2, 0.000000
5.305178, 150400.501495, 2, 0.000000
5.897547, 851760.461109, 2, 0.000000
6.082242, 819332.981020, 2, 0.000000
6.272900, 837827.580111, 2, 0.000000
6.844104, 390416.218827, 2, 0.000000
7.045619, 405503.822279, 2, 0.000000
7.474399, 811074.738915, 2, 0.000000
7.682639, 387025.211983, 2, 0.000000
7.900300, 397879.461621, 2, 0.000000
8.785987, 808924.050121, 2, 0.000000
9.204611, 395089.823671, 2, 0.000000
9.633404, 910577.634028, 2, 0.000000
9.844413, 816716.554436, 2, 0.000000
10.397986, 409749.581543, 2, 0.000000
10.611616, 393168.925815, 2, 0.000000
10.819161, 401012.315489, 2, 0.000000
11.035076, 612101.491324, 2, 0.000000
11.235769, 405285.079551, 2, 0.000000
11.644514, 820918.312061, 2, 0.000000
12.087157, 316006.786562, 2, 0.000000
12.878096, 863301.402692, 2, 0.000000
13.072503, 901537.662637, 2, 0.000000
13.222112, 817555.199283, 2, 0.000000
13.397108, 414328.301316, 2, 0.000000
13.850695, 409291.573587, 2, 0.000000
14.058516, 392765.726634, 2, 0.000000
14.484868, 401047.857843, 2, 0.000000
14.687855, 401253.998998, 2, 0.000000
14.933693, 407932.492068, 2, 0.000000
15.345943, 421085.254605, 2, 0.000000
15.552522, 401475.341585, 2, 0.000000
15.961420, 415197.559303, 2, 0.000000
16.182313, 759556.935249, 2, 0.000000
16.389725, 917064.366914, 2, 0.000000
16.724265, 71622.099457, 2, 0.000000
16.899925, 398678.301694, 2, 0.000000
17.110265, 401573.686964, 2, 0.000000
17.756405, 699149.135502, 2, 0.000000
18.384572, 813465.787256, 2, 0.000000
18.583333, 818066.842606, 2, 0.000000
18.742832, 800914.323792, 2, 0.000000
19.061740, 798212.005109, 2, 0.000000
19.595173, 776417.408210, 2, 0.000000
20.027086, 813845.133410, 2, 0.000000
20.442790, 409717.516161, 2, 0.000000
20.842166, 398857.989804, 2, 0.000000
21.067610, 811386.017709, 2, 0.000000
21.271874, 811332.695085, 2, 0.000000
21.898813, 815002.567258, 2, 0.000000
22.134388, 609953.588631, 2, 0.000000
23.653961, 307922.633822, 2, 0.000000
23.880847, 816525.162856, 2, 0.000000
24.114276, 720556.615574, 2, 0.000000
24.342468, 304228.039603, 2, 0.000000
24.578466, 609202.614698, 2, 0.000000
24.816155, 643691.182718, 2, 0.000000
25.033797, 815154.704136, 2, 0.000000
25.701821, 756324.384503, 2, 0.000000
25.911251, 809361.397670, 2, 0.000000
26.330867, 652629.902719, 2, 0.000000
26.533683, 391504.202210, 2, 0.000000
26.744932, 393727.914325, 2, 0.000000
26.954120, 403507.610961, 2, 0.000000
27.152269, 803649.856187, 2, 0.000000
27.787151, 817268.557717, 2, 0.000000
28.018603, 576268.236729, 2, 0.000000
28.432930, 843197.336846, 2, 0.000000
28.773223, 131746.456053, 2, 0.000000
28.961850, 837650.023119, 2, 0.000000
29.132119, 669288.940736, 2, 0.000000
29.821166, 824664.732553, 2, 0.000000
