time(s), tput(ops/s), num_workers, cpu(%)
0.001117, 51806.224000, 2, 0.000000
0.502189, 151387.618915, 2, 0.000000
1.003884, 154906.428772, 2, 0.000000
1.507046, 148063.751810, 2, 25.000000
2.012839, 147850.011338, 2, 56.250000
2.519718, 239346.965739, 2, 60.416667
3.030534, 305229.691066, 2, 84.722222
3.547081, 395201.463826, 2, 84.615385
4.076227, 444143.213563, 2, 83.928571
4.661430, 301713.581105, 2, 84.230769
5.264080, 500497.530714, 2, 83.162417
5.977336, 480895.970808, 2, 70.568866
6.890113, 496512.174108, 2, 73.460394
8.219664, 493852.635488, 2, 71.283458
10.428615, 479452.590436, 2, 71.009238
14.162913, 506599.285441, 2, 71.332074
20.869622, 527959.381303, 2, 71.071473
29.503038, 805781.068604, 2, 77.443828
38.183527, 801142.800671, 2, 73.867397
46.730664, 814419.060915, 2, 72.721629
55.245874, 817662.922692, 2, 73.426117
59.844375, 799544.935174, 2, 72.820462
62.374693, 807035.467242, 2, 73.154340
