time(s), tput(ops/s), num_workers, cpu(%)
0.001132, 50771.214752, 2, 0.000000
0.502259, 138108.575438, 2, 0.000000
1.003978, 151387.045962, 2, 0.000000
1.507646, 124116.292001, 2, 0.000000
2.013162, 156914.311448, 2, 59.375000
3.030961, 322306.911721, 2, 71.875000
3.573355, 152172.258997, 2, 71.969697
4.102645, 442869.030134, 2, 71.739130
4.657712, 467778.562911, 2, 73.660714
5.253861, 534559.920048, 2, 70.540541
5.951953, 517870.298049, 2, 71.753247
6.844122, 522708.030758, 2, 71.455993
8.130600, 521050.214310, 2, 71.717668
10.172177, 531527.888816, 2, 71.465932
13.741802, 533806.079782, 2, 71.374784
20.544762, 519908.600481, 2, 71.987733
33.717469, 517155.521985, 2, 73.949129
46.845500, 518981.478364, 2, 77.430418
60.123950, 512875.063065, 2, 71.518933
