time(s), tput(ops/s), num_workers, cpu(%)
0.001148, 51406.587034, 2, 0.000000
0.501990, 193851.420640, 2, 0.000000
1.505007, 262756.672213, 2, 0.000000
2.008509, 260061.029822, 2, 33.333333
3.534348, 550740.449020, 2, 57.812500
4.052030, 738574.511955, 2, 60.119048
4.583378, 824868.230522, 2, 58.000000
5.140481, 901614.472786, 2, 57.880435
5.785968, 705119.053465, 2, 58.607337
6.543160, 796903.789086, 2, 84.466019
7.534624, 834063.084231, 2, 71.681701
9.147681, 736165.355766, 2, 77.218468
11.921858, 720491.173820, 2, 72.815855
16.434714, 816622.962502, 2, 70.893438
24.969787, 815639.798956, 2, 72.560725
41.192345, 833669.872718, 2, 72.597392
60.264086, 705768.558074, 2, 79.939690
