time(s), tput(ops/s), num_workers, cpu(%)
0.000585, 110316.343146, 2, 0.000000
0.501169, 259073.398084, 3, 0.000000
1.002036, 294059.267645, 0, 0.000000
1.503366, 348941.790403, 3, 33.333333
2.510596, 353650.010709, 1, 32.500000
3.019148, 381834.372897, 3, 32.142857
3.535776, 389616.216460, 3, 43.750000
4.069723, 379440.221327, 2, 49.604885
4.633597, 401991.711904, 0, 53.779762
5.250906, 437274.479104, 0, 49.389632
5.979762, 447851.768342, 4, 56.254977
6.954367, 431717.120190, 3, 59.594205
8.460549, 407179.131944, 0, 59.447422
10.838609, 436241.248695, 4, 50.022289
15.131913, 431943.971839, 0, 50.427525
22.848438, 454081.789807, 1, 50.256508
39.198655, 413477.295866, 4, 49.777190
54.855270, 432398.863973, 4, 56.438016
72.179085, 389548.499055, 4, 56.165333
