time(s), tput(ops/s), num_workers, cpu(%)
0.005941, 176413.139815, 0, 0.000000
2.491552, 195900.661126, 0, 0.000000
2.888854, 197734.867993, 0, 0.000000
3.283561, 199185.728741, 0, 0.000000
3.677584, 199199.576263, 0, 0.000000
4.071777, 199979.722056, 0, 0.000000
4.466693, 199279.167396, 0, 0.000000
4.862915, 197283.057193, 0, 0.000000
8.815327, 199832.779930, 0, 0.000000
9.212306, 196182.215611, 0, 0.000000
9.608436, 197815.562309, 0, 0.000000
10.003927, 197115.840446, 0, 0.000000
10.399633, 197815.131869, 0, 0.000000
10.796089, 196605.720204, 0, 0.000000
11.195178, 197521.344156, 0, 0.000000
11.992781, 199298.032470, 0, 0.000000
12.389507, 196895.625432, 0, 0.000000
12.784781, 198599.437050, 0, 0.000000
13.180413, 197087.053351, 0, 0.000000
13.574570, 199286.037841, 0, 0.000000
16.346899, 198263.214243, 0, 0.000000
16.741174, 198359.094229, 0, 0.000000
17.140208, 197043.325492, 0, 0.000000
17.536895, 197156.529667, 0, 0.000000
20.728832, 193896.713160, 0, 0.000000
21.128809, 194217.221086, 0, 0.000000
21.526256, 199034.562949, 0, 0.000000
21.922169, 198381.917726, 0, 0.000000
22.318794, 197951.792800, 0, 0.000000
22.711484, 200252.358022, 0, 0.000000
23.102942, 200605.024755, 0, 0.000000
23.496371, 199002.757382, 0, 0.000000
24.679940, 198453.334095, 0, 0.000000
25.073172, 198491.701260, 0, 0.000000
25.467460, 198748.243811, 0, 0.000000
27.448815, 198398.369642, 0, 0.000000
27.844333, 186963.974286, 0, 0.000000
28.239782, 197772.840489, 0, 0.000000
28.634821, 200245.140101, 0, 0.000000
29.029520, 198380.737072, 0, 0.000000
