time(s), tput(ops/s), num_workers, cpu(%)
0.000746, 81304.646886, 0, 0.000000
0.502812, 72383.935978, 0, 0.000000
1.006133, 67793.415836, 0, 0.000000
1.513028, 61666.195948, 0, 29.166667
2.020865, 107292.395920, 0, 28.571429
2.532786, 137827.271934, 0, 27.777778
3.052387, 165882.698124, 0, 27.500000
3.586575, 188999.725744, 0, 29.375000
4.151207, 199013.369454, 0, 28.125000
4.776322, 205116.271240, 0, 28.156566
5.525472, 205781.635196, 0, 29.353498
6.510288, 211366.821779, 0, 28.100775
7.982332, 210763.904210, 0, 28.712765
10.433546, 209954.907042, 0, 29.107193
14.805260, 211601.790208, 0, 28.727382
23.009175, 212679.123543, 0, 28.645989
39.004672, 211470.550274, 0, 28.427014
54.949942, 212158.204563, 0, 28.673405
70.968444, 211157.031347, 0, 28.438408
