time(s), tput(ops/s), num_workers, cpu(%)
0.000746, 81004.586480, 0, 0.000000
0.502511, 72191.637032, 0, 0.000000
1.005838, 67756.691143, 0, 0.000000
1.512707, 61983.426252, 0, 2.500000
2.020760, 104269.497027, 0, 27.083333
2.532751, 136600.615147, 0, 15.000000
3.052387, 165696.582218, 0, 27.500000
3.586534, 189139.553635, 0, 29.375000
4.151184, 198985.803560, 0, 28.125000
4.776322, 205095.197620, 0, 28.125000
5.525373, 205874.872710, 0, 29.353498
6.510156, 211379.244077, 0, 28.100775
7.981872, 210835.209310, 0, 28.712765
10.432682, 209999.734009, 0, 29.164255
14.800870, 211797.241573, 0, 28.733992
23.002944, 212730.654896, 0, 28.663644
38.989828, 211589.618808, 0, 28.429725
54.926547, 212276.995518, 0, 28.683292
70.938996, 211240.782922, 0, 28.444772
