num_keys, runtime(s),avg_cpu_usage(%)
1000, 0.000000, 28.153595
1500, 0.000000, 27.018359
2000, 0.000000, 28.010531
2500, 0.000000, 27.139860
3000, 0.000000, 27.533321
3500, 0.000000, 27.787559
4000, 0.000000, 28.111561
4500, 0.000000, 27.730976
5000, 0.000000, 28.124917
5500, 0.000000, 28.245707
6000, 0.000000, 28.096134
6500, 0.000000, 28.094563
7000, 0.000000, 28.230133
7500, 0.000000, 28.003461
8000, 0.000000, 27.938539
8500, 0.000000, 28.097148
9000, 0.000000, 27.934708
9500, 0.000000, 27.953741
10000, 0.000000, 27.950274
