num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.008009, 62431.852511, 55.403846
1000, 0.016624, 60153.918960, 55.320513
1500, 0.025906, 57901.496893, 54.095466
2000, 0.035203, 56813.945628, 54.673401
2500, 0.045109, 55421.535445, 54.368798
3000, 0.054342, 55206.388236, 54.804521
3500, 0.063418, 55189.568473, 54.297476
4000, 0.075754, 52802.243162, 55.475513
4500, 0.087223, 51591.663467, 54.892576
5000, 0.091999, 54348.413995, 55.098226
5500, 0.103867, 52952.267405, 54.267164
6000, 0.116928, 51313.591686, 55.866901
6500, 0.129013, 50382.419852, 54.998752
7000, 0.131003, 53433.857870, 54.703439
7500, 0.138543, 54134.916442, 55.367849
8000, 0.143784, 55638.922908, 55.303612
8500, 0.157559, 53947.980146, 55.245608
9000, 0.175938, 51154.278795, 55.331569
9500, 0.178948, 53088.101147, 55.016029
10000, 0.192173, 52036.399970, 55.207780





















