num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.012942, 38633.879443, 42.219158
1000, 0.024892, 40174.198216, 43.174212
1500, 0.036915, 40634.103309, 46.233023
2000, 0.052256, 38273.410810, 50.652556
2500, 0.067808, 36868.706539, 51.495047
3000, 0.082741, 36257.701468, 52.514616
3500, 0.100370, 34871.067158, 51.921539
4000, 0.113768, 35159.298943, 53.469240
4500, 0.129518, 34744.106130, 53.860498
5000, 0.146330, 34169.435735, 54.097279
5500, 0.166486, 33035.721843, 54.588391
6000, 0.180920, 33163.832470, 54.714506
6500, 0.197875, 32849.025528, 54.969966
7000, 0.212977, 32867.361018, 54.827756
7500, 0.230262, 32571.614653, 54.823537
8000, 0.246362, 32472.578896, 55.098816
8500, 0.265162, 32055.890944, 55.346659
9000, 0.278897, 32269.973709, 55.070767
9500, 0.294895, 32214.823275, 55.211932
10000, 0.316582, 31587.394257, 54.882747
