num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.009831, 50859.844672, 81.244048
1000, 0.020760, 48169.586076, 81.848731
1500, 0.032667, 45918.004501, 83.627137
2000, 0.045027, 44418.018290, 84.354400
2500, 0.063473, 39387.007834, 83.223309
3000, 0.074507, 40264.934248, 82.531985
3500, 0.090870, 38516.714035, 83.632984
4000, 0.106884, 37423.801841, 83.491765
4500, 0.121516, 37032.094487, 83.638862
5000, 0.137199, 36443.373670, 83.561294
5500, 0.155231, 35431.055060, 84.137025
6000, 0.170487, 35193.276117, 83.778660
6500, 0.186629, 34828.491354, 84.784648
7000, 0.203961, 34320.204405, 83.979417
7500, 0.219577, 34156.505791, 83.730282
8000, 0.235146, 34021.435927, 83.948335
8500, 0.251830, 33752.899586, 84.167144
9000, 0.267499, 33645.038465, 84.124979
9500, 0.285102, 33321.360442, 84.021683
10000, 0.300230, 33307.764717, 83.901176
