num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.010761, 46462.800042, 82.519608
1000, 0.020544, 48675.204525, 81.681373
1500, 0.033654, 44571.155949, 83.627321
2000, 0.048693, 41073.531331, 83.844467
2500, 0.064885, 38529.744527, 83.777521
3000, 0.082011, 36580.567911, 83.704638
3500, 0.099927, 35025.605819, 83.888606
4000, 0.118183, 33845.869171, 83.960637
4500, 0.136617, 32938.878696, 84.191670
5000, 0.154609, 32339.719428, 83.692634
5500, 0.173975, 31613.712384, 84.781696
6000, 0.193421, 31020.420614, 84.328925
6500, 0.211918, 30672.301505, 84.143895
7000, 0.248084, 28216.239918, 84.024886
7500, 0.248469, 30184.894140, 83.749910
8000, 0.267797, 29873.365623, 84.213948
8500, 0.286712, 29646.440451, 84.337019
9000, 0.305193, 29489.495721, 84.226498
9500, 0.323615, 29355.866791, 84.277766
10000, 0.343292, 29129.717688, 84.227191
