num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.008146, 61376.421742, 54.903846
1000, 0.015109, 66185.383326, 54.903846
1500, 0.026062, 57555.678039, 54.898810
2000, 0.034480, 58004.296517, 54.760761
2500, 0.043840, 57025.984506, 53.328725
3000, 0.058592, 51201.503877, 54.417003
3500, 0.067624, 51756.851729, 55.540082
4000, 0.077641, 51519.019883, 54.695109
4500, 0.088701, 50732.073516, 54.341622
5000, 0.092017, 54337.820958, 54.371464
5500, 0.100326, 54821.111149, 53.957213
6000, 0.113444, 52889.467154, 55.488922
6500, 0.122371, 53117.231212, 54.742033
7000, 0.132173, 52960.721709, 55.326905
7500, 0.145494, 51548.600796, 54.957845
8000, 0.150198, 53262.977272, 55.608005
8500, 0.161592, 52601.559775, 54.738993
9000, 0.163412, 55075.353346, 55.823139
9500, 0.187546, 50654.147501, 55.435300
10000, 0.189321, 52820.318957, 55.257594
