num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.009774, 51157.482026, 28.750000
1000, 0.021258, 47041.427278, 27.254902
1500, 0.034950, 42917.976759, 28.212803
2000, 0.049374, 40507.295546, 28.076080
2500, 0.065207, 38339.650108, 27.824292
3000, 0.081918, 36622.047658, 28.162596
3500, 0.098907, 35386.846601, 28.062300
4000, 0.117043, 34175.556780, 28.090966
4500, 0.135179, 33289.246978, 27.724917
5000, 0.153784, 32513.030823, 28.129837
5500, 0.172635, 31859.070486, 27.949613
6000, 0.193070, 31076.865731, 27.859819
6500, 0.208531, 31170.379133, 27.987152
7000, 0.227524, 30766.027208, 27.993208
7500, 0.244479, 30677.425939, 28.217820
8000, 0.263804, 30325.501753, 27.922524
8500, 0.282011, 30140.684624, 27.924528
9000, 0.305713, 29439.386663, 27.859705
9500, 0.317661, 29906.127907, 27.838794
10000, 0.337073, 29667.205734, 28.032355

