num_keys, runtime(s),tput(op/s)
500, 0.008781, 56944.318661
1000, 0.017387, 57515.658523
1500, 0.027827, 53904.083376
2000, 0.041019, 48758.227890
2500, 0.056177, 44501.922257
3000, 0.065541, 45772.671206
3500, 0.080035, 43730.639243
4000, 0.092860, 43075.679131
4500, 0.106021, 42444.270541
5000, 0.121188, 41258.106071
5500, 0.130591, 42116.209407
6000, 0.153235, 39155.628246
6500, 0.165298, 39323.000035
7000, 0.218074, 32099.125681
7500, 0.198514, 37780.769755
8000, 0.204603, 39100.194229
8500, 0.242295, 35081.185176
9000, 0.237669, 37867.817241
9500, 0.245673, 38669.313662
10000, 0.255323, 39166.071586
