num_keys, runtime(s),tput(op/s), avg_cpu_usage(%)
500, 0.010217, 48937.571202, -nan
1000, 0.017983, 55608.129953, 65.064904
1500, 0.029901, 50166.055664, 59.972222
2000, 0.041655, 48013.130708, 63.181150
2500, 0.052550, 47573.773154, 60.450636
3000, 0.064948, 46190.671347, 59.941412
3500, 0.077860, 44952.612292, 59.401316
4000, 0.091527, 43702.942256, 61.700902
4500, 0.107149, 41997.671313, 62.872282
5000, 0.123082, 40623.351946, 60.474226
5500, 0.140167, 39238.866722, 62.475475
6000, 0.149201, 40214.274254, 60.973676
6500, 0.177896, 36538.233479, 61.941319
7000, 0.174512, 40111.792620, 60.742504
7500, 0.217287, 34516.561936, 62.344148
8000, 0.208901, 38295.675949, 61.984889
8500, 0.246169, 34529.140123, 60.794088
9000, 0.230076, 39117.534228, 61.783330
9500, 0.245610, 38679.179313, 59.511920
10000, 0.263856, 37899.393320, 61.211091
