num_keys, runtime(s),avg_cpu_usage(%)
500, 2.061746, 34.868043
1000, 4.116411, 34.430567
1500, 6.168073, 34.707918
2000, 8.213101, 36.146021
2500, 10.269937, 35.049551
3000, 12.320549, 34.911798
3500, 14.366709, 34.513340
4000, 16.415454, 35.388777
4500, 18.473903, 35.084284
5000, 20.509832, 34.512959
5500, 22.575020, 34.339377
6000, 24.612731, 34.293342
6500, 26.660278, 34.357149
7000, 28.700871, 34.218150
7500, 30.750873, 34.156520
8000, 32.788359, 34.048649
8500, 34.837507, 34.511751
9000, 36.892031, 33.376177
9500, 38.934730, 33.738720
10000, 40.966956, 33.673147
