num_keys, runtime(s),avg_cpu_usage(%)
500, 2.053718, 65.559951
1000, 4.102515, 64.993322
1500, 6.151802, 64.299317
2000, 8.198012, 63.725515
2500, 10.248032, 63.483599
3000, 12.295500, 62.882722
3500, 14.343682, 62.603671
4000, 16.386428, 62.227305
4500, 18.427216, 61.798304
5000, 20.471320, 61.375026
5500, 22.517479, 61.308951
6000, 24.558916, 60.897474
6500, 26.602367, 60.612915
7000, 28.648063, 60.387835
7500, 30.684624, 60.382757
8000, 32.724786, 60.216890
8500, 34.770650, 60.012425
9000, 36.800203, 59.998289
9500, 38.843775, 59.918361
10000, 40.894341, 59.696263
