num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 2.057193, 243.049633, 34.785822
1000, 4.109704, 243.326534, 35.356730
1500, 6.163827, 243.355292, 35.654139
2000, 8.213732, 243.494664, 34.953734
2500, 10.270432, 243.417214, 35.563773
3000, 12.318051, 243.545026, 35.475429
3500, 14.365410, 243.640795, 34.909363
4000, 16.428621, 243.477520, 34.606308
4500, 18.468692, 243.655588, 34.713524
5000, 20.511379, 243.767134, 34.804397
5500, 22.572015, 243.664559, 34.723024
6000, 24.616015, 243.743758, 34.193722
6500, 26.651841, 243.885595, 33.856098
7000, 28.704835, 243.861355, 34.096062
7500, 30.755928, 243.855429, 33.904679
8000, 32.787763, 243.993467, 34.162192
8500, 34.828752, 244.051238, 33.797041
9000, 36.891190, 243.960686, 33.673530
9500, 38.917028, 244.109082, 33.434694
10000, 40.967609, 244.095281, 33.940171
