num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 2.058425, 242.904113, 32.727687
1000, 4.116360, 242.933085, 32.932933
1500, 6.164210, 243.340183, 32.898791
2000, 8.226610, 243.113514, 32.686559
2500, 10.272002, 243.380020, 32.660244
3000, 12.333971, 243.230662, 33.417708
3500, 14.384010, 243.325751, 32.790866
4000, 16.441099, 243.292742, 33.058043
4500, 18.500655, 243.234633, 32.709481
5000, 20.537269, 243.459827, 32.909031
5500, 22.594238, 243.424895, 32.513694
6000, 24.644073, 243.466250, 32.819955
6500, 26.670925, 243.711080, 32.662119
7000, 28.771286, 243.298126, 32.759546
7500, 30.785752, 243.619188, 32.614605
8000, 32.823465, 243.728079, 32.626860
8500, 34.899244, 243.558285, 32.778225
9000, 36.940742, 243.633437, 32.549773
9500, 39.003104, 243.570359, 32.663837
10000, 41.043784, 243.642250, 32.844452
