num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 2.087946, 239.469844, 27.639671
1000, 4.179996, 239.234676, 28.908870
1500, 6.270392, 239.219496, 28.980396
2000, 8.349295, 239.541188, 29.051784
2500, 10.436190, 239.551026, 28.807446
3000, 12.517365, 239.667063, 28.818200
3500, 14.591726, 239.861967, 28.693993
4000, 16.682478, 239.772532, 28.392271
4500, 18.753398, 239.956510, 28.596347
5000, 20.822777, 240.121673, 28.662711
5500, 22.913617, 240.031937, 28.648436
6000, 24.965472, 240.331926, 28.671032
6500, 27.048613, 240.308071, 28.735506
7000, 29.135929, 240.253194, 28.662759
7500, 31.215510, 240.265176, 28.651460
8000, 33.308078, 240.181977, 28.607015
8500, 35.370581, 240.312705, 28.543796
9000, 37.450238, 240.318903, 28.692530
9500, 39.540185, 240.261898, 28.667680
10000, 41.609478, 240.329857, 28.543980

