num_keys, runtime(s),tput(op/s)
500, 2.055894, 243.203186
1000, 4.113839, 243.081961
1500, 6.163343, 243.374412
2000, 8.220988, 243.279768
2500, 10.267399, 243.489137
3000, 12.319542, 243.515540
3500, 14.364350, 243.658772
4000, 16.419676, 243.610160
4500, 18.467497, 243.671358
5000, 20.509071, 243.794558
5500, 22.564341, 243.747427
6000, 24.608680, 243.816407
6500, 26.667660, 243.740922
7000, 28.703104, 243.876064
7500, 30.750237, 243.900560
8000, 32.788141, 243.990656
8500, 34.835899, 244.001165
9000, 36.882062, 244.021066
9500, 38.930540, 244.024359
10000, 40.984213, 243.996392

