num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.008531, 58609.100090, 81.671616
1000, 0.017097, 58491.104509, 82.587576
1500, 0.026613, 56363.567375, 82.190476
2000, 0.037463, 53385.782658, 82.906404
2500, 0.048944, 51078.634888, 84.197790
3000, 0.060989, 49188.837054, 82.822044
3500, 0.073479, 47632.784525, 83.321994
4000, 0.086241, 46381.637651, 83.357271
4500, 0.099111, 45403.823330, 83.089312
5000, 0.111445, 44865.325062, 82.914326
5500, 0.124122, 44311.361188, 82.936316
6000, 0.137031, 43785.632584, 83.177204
6500, 0.149943, 43349.877612, 83.079071
7000, 0.161997, 43210.747266, 83.480232
7500, 0.175481, 42739.561196, 83.036280
8000, 0.187972, 42559.525071, 83.253903
8500, 0.201903, 42099.434573, 82.947419
9000, 0.214080, 42040.313067, 83.461604
9500, 0.226326, 41974.904555, 83.008941
10000, 0.239491, 41755.245514, 83.132745
