num_keys, runtime(s),tput(op/s)
500, 2.148351, 232.736675
1000, 4.261269, 234.671889
1500, 6.357743, 235.932796
2000, 8.452495, 236.616524
2500, 10.555923, 236.833851
3000, 12.654991, 237.060610
3500, 14.759282, 237.138915
4000, 16.853004, 237.346404
4500, 18.985982, 237.016976
5000, 21.095750, 237.014566
5500, 23.150620, 237.574626
6000, 25.280763, 237.334606
6500, 27.360544, 237.568378
7000, 29.434713, 237.814446
7500, 31.586569, 237.442691
8000, 33.671822, 237.587381
8500, 35.772021, 237.615873
9000, 37.929624, 237.281550
9500, 40.050566, 237.200142
10000, 42.140620, 237.300734

