num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.012902, 387528.075440, 22.500000
10000, 0.025144, 397706.221414, 32.592593
15000, 0.036949, 405963.667623, 40.982906
20000, 0.049116, 407202.513911, 39.890351
25000, 0.061625, 405676.456485, 38.581349
30000, 0.073768, 406680.853653, 37.151067
35000, 0.085714, 408335.405862, 37.348732
40000, 0.098459, 406258.724406, 39.670593
45000, 0.110212, 408302.547397, 41.975621
50000, 0.123156, 405990.409056, 35.889260
55000, 0.134732, 408219.246630, 41.532520
60000, 0.147188, 407640.922916, 39.316990
65000, 0.159457, 407634.669581, 38.171182
70000, 0.172179, 406552.826196, 42.820647
75000, 0.183353, 409047.551538, 36.489076
80000, 0.195910, 408351.257586, 31.527980
85000, 0.209980, 404800.791340, 41.029810
90000, 0.221200, 406872.054535, 42.282444
95000, 0.232724, 408208.441543, 42.568037
100000, 0.245238, 407766.553387, 37.374769
