num_keys, runtime(s),tput(op/s), avg_cpu_usage(%)
5000, 0.022679, 220469.651801, 69.195845
10000, 0.020291, 492833.980364, 78.174603
15000, 0.030383, 493704.775888, 63.621795
20000, 0.040706, 491329.612778, 69.211601
25000, 0.051050, 489714.375527, 66.396199
30000, 0.061008, 491741.163450, 74.683303
35000, 0.071779, 487609.419728, 68.009999
40000, 0.081847, 488714.039133, 65.946087
45000, 0.091366, 492526.091679, 72.195180
50000, 0.102246, 489016.093784, 65.548780
55000, 0.111605, 492808.929120, 71.927136
60000, 0.121392, 494265.087497, 70.143444
65000, 0.132569, 490310.267231, 70.426649
70000, 0.143547, 487646.430906, 72.554033
75000, 0.155476, 482390.649849, 76.782475
80000, 0.162237, 493105.381043, 82.370638
85000, 0.172830, 491811.922627, 71.898834
90000, 0.183209, 491243.558105, 67.379880
95000, 0.192407, 493745.968423, 65.353852
100000, 0.202538, 493734.185673, 67.107647
