num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.004855, 1029908.826978, 63.888889
10000, 0.009170, 1090508.973253, 63.333333
15000, 0.009419, 1592484.323319, 81.944444
20000, 0.012612, 1585747.470878, 100.000000
25000, 0.015539, 1608852.584785, 100.000000
30000, 0.018276, 1641525.278295, 97.222222
35000, 0.021634, 1617828.183072, 99.074074
40000, 0.024901, 1606392.026641, 100.000000
45000, 0.027680, 1625700.890834, 100.000000
50000, 0.030787, 1624049.285608, 99.305556
55000, 0.033915, 1621710.110413, 100.000000
60000, 0.037553, 1597747.006295, 99.444444
65000, 0.040163, 1618424.529951, 100.000000
70000, 0.044065, 1588550.815017, 97.870370
75000, 0.046735, 1604790.234659, 97.916667
80000, 0.049028, 1631705.417778, 96.843434
85000, 0.052617, 1615437.685071, 99.603175
90000, 0.063934, 1407712.239093, 98.437500
95000, 0.059096, 1607563.041487, 99.666667
100000, 0.060971, 1640122.836672, 98.462302






















