num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.012698, 393754.280109, 49.166667
10000, 0.025245, 396117.033728, 36.658249
15000, 0.037616, 398761.832105, 57.757937
20000, 0.048554, 411913.097980, 44.119326
25000, 0.060921, 410365.320230, 49.980339
30000, 0.072951, 411235.968240, 43.671319
35000, 0.084736, 413046.031364, 44.732868
40000, 0.096657, 413833.004085, 48.827785
45000, 0.108686, 414037.087731, 51.408730
50000, 0.127072, 393479.138847, 40.823091
55000, 0.137283, 400630.878543, 51.437963
60000, 0.149595, 401083.417222, 36.446055
65000, 0.157260, 413329.450863, 41.599459
70000, 0.168474, 415494.070677, 50.904333
75000, 0.181622, 412945.606920, 47.041627
80000, 0.200538, 398926.972214, 47.721931
85000, 0.204441, 415766.934791, 51.126121
90000, 0.228010, 394719.674685, 41.624518
95000, 0.228093, 416496.837037, 45.055428
100000, 0.240569, 415681.888561, 44.176262
