num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.015380, 325087.545534, 54.761905
10000, 0.027090, 369145.000378, 48.779461
15000, 0.037684, 398048.909313, 49.861111
20000, 0.049756, 401960.581494, 49.795322
25000, 0.062384, 400743.403593, 49.859127
30000, 0.074528, 402531.205673, 51.072455
35000, 0.087427, 400335.528451, 51.586913
40000, 0.099745, 401021.014206, 50.467428
45000, 0.112491, 400032.809802, 51.123737
50000, 0.124997, 400009.717569, 51.928659
55000, 0.143518, 383226.672099, 50.284140
60000, 0.149892, 400288.594734, 50.262897
65000, 0.162678, 399562.969089, 45.529140
70000, 0.174358, 401473.595450, 44.513711
75000, 0.188088, 398748.887617, 46.032164
80000, 0.199673, 400655.569337, 45.922629
85000, 0.212443, 400106.810631, 44.597708
90000, 0.225277, 399508.987474, 51.801438
95000, 0.237196, 400513.094655, 45.185164
100000, 0.248718, 402062.336943, 44.535363
