num_keys, runtime(s),tput(op/s), avg_cpu_usage(%)
5000, 0.012869, 388533.254328, 57.291667
10000, 0.015804, 632735.467917, 78.809524
15000, 0.026418, 567798.088476, 69.444444
20000, 0.040004, 499945.355973, 72.058824
25000, 0.043147, 579411.014335, 83.644180
30000, 0.050083, 599000.392139, 75.167572
35000, 0.061849, 565898.738306, 80.083574
40000, 0.068225, 586293.782258, 80.209912
45000, 0.076296, 589804.356172, 82.023508
50000, 0.084481, 591848.239821, 83.077275
55000, 0.094919, 579438.958334, 77.594998
60000, 0.094986, 631671.186876, 88.334525
65000, 0.111857, 581101.625702, 79.715569
70000, 0.121811, 574660.941493, 78.894334
75000, 0.143185, 523797.683876, 73.845472
80000, 0.135417, 590766.342740, 79.235663
85000, 0.144298, 589060.085586, 79.152351
90000, 0.155894, 577315.065217, 79.837995
95000, 0.148054, 641655.745236, 81.576163
100000, 0.155683, 642330.312711, 83.807009
