num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.013076, 382383.354149, 38.055556
10000, 0.025356, 394386.160159, 45.749158
15000, 0.037831, 396495.969513, 45.555556
20000, 0.050133, 398941.318784, 54.365079
25000, 0.063018, 396713.460659, 47.116019
30000, 0.074985, 400080.215194, 55.352140
35000, 0.087382, 400538.439628, 45.952381
40000, 0.099922, 400312.964676, 54.166667
45000, 0.112939, 398444.528050, 45.634921
50000, 0.125003, 399990.455694, 54.251701
55000, 0.136763, 402156.418286, 45.909091
60000, 0.150080, 399786.046945, 48.429531
65000, 0.160748, 404358.634390, 54.228734
70000, 0.172996, 404634.192943, 54.227053
75000, 0.187060, 400939.840764, 45.885905
80000, 0.199119, 401769.503379, 47.420400
85000, 0.211734, 401446.513488, 54.213365
90000, 0.224534, 400830.046580, 54.213483
95000, 0.236030, 402491.150198, 55.231040
100000, 0.248510, 402398.015861, 53.888241
