num_conns,set_tput, set_lat, get_lat 
1, 5110.96, 0.40845, 0.36423
2, 7056.22, 0.64260, 0.60421
3, 6350.04, 0.96912, 0.93128
4, 6462.63, 1.26588, 1.22238 
5, 7026.37, 1.62161, 1.58421
6, 6323.80, 1.92289, 1.86912
7, 6235.56, 2.26133, 2.21332
8, 4482.64, 2.50433, 2.46090
9, 8647.19, 2.90753, 2.85384
10, 4559.13, 3.26756, 3.26756
11, 5474.88, 3.53943, 3.46660 
12, 8203.67, 3.96657, 3.89394
13, 7975.11, 4.28309, 4.17447
14, 9224.62, 4.58808, 4.49791 
15, 5511.74, 4.97801, 4.87605
16, 6703.09, 5.54253, 5.48454 
17,
18,
19,
20
