num_conns,set_tput, set_lat, get_lat 
1, 4601.48, 0.45581, 0.41296
2, 6208.63, 0.68332, 0.64967
3, 6173.56, 1.00550, 0.97420
4, 5994.00, 1.32558, 1.28623
5, 9609.36, 1.65936, 1.61921
6, 5982.91, 2.00255, 1.94820
7, 4130.77, 2.36693, 2.30804
8, 5997.20, 2.66849, 2.61431
9, 9259.08, 3.09213, 3.02077
10, 4646.83, 3.36399, 3.28601
11, 4592.84, 3.78163, 3.69451
12, 7688.04, 4.12095, 4.03827
13, 5258.60, 4.42394, 4.34715
14, 5789.51, 4.85513, 4.74737
15, 4792.99, 5.10433, 5.01303  
16, 7750.18, 5.87332,  5.73067 
17, 
18,
19,
20


