value-size,set_tput, set_lat, get_lat 
200, 9002.93, 3.33518, 3.26304 
400, 6851.71, 3.39698, 3.34200
600, 5308.49, 3.30954, 3.22969
800, 8133.86, 3.40515, 3.32431
1000, 7763.56, 3.32160, 3.22778
1200, 8254.01, 3.38598, 3.30744
1400, 8743.87, 3.39047, 3.31733
1600, 7544.34, 3.33317, 3.25676
1800, 7873.50, 3.50785, 3.43782
2000, 5833.00, 3.42141, 3.34743 
2200, 5072.41, 3.34838, 3.29548 
2400, 5195.23, 3.38187, 3.31845
2600, 7614.68, 3.39881, 3.33979
2800, 7041.03, 3.39678, 3.31658 
3000, 7388.65, 3.40019, 3.34218
3200, 5168.72, 3.39312, 3.32653
3400, 7585.78, 3.36256, 3.29263
3600, 8749.99, 3.41731, 3.34804
3800, 8875.73, 3.35581, 3.26953 
4000, 8155.70, 3.41400, 3.35518


