num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.050275, 83.055347
10000, 0.099928, 84.983373
15000, 0.149483, 84.546921
20000, 0.199357, 84.658210
25000, 0.248720, 84.701824
30000, 0.298469, 84.505562
35000, 0.348246, 84.970003
40000, 0.397750, 84.064978
45000, 0.449007, 84.701657
50000, 0.497107, 84.434295
55000, 0.547720, 84.765589
60000, 0.596038, 84.576597
65000, 0.646564, 84.900821
70000, 0.696735, 84.626604
75000, 0.745499, 84.643691
80000, 0.794720, 84.140636
85000, 0.844041, 84.089762
90000, 0.894197, 84.161337
95000, 0.943093, 84.064678
100000, 0.992631, 84.520546
