num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.056720, 27.707138
10000, 0.112946, 27.932085
15000, 0.168297, 28.120232
20000, 0.224301, 28.125000
25000, 0.280305, 28.122222
30000, 0.336187, 28.053554
35000, 0.392738, 28.124528
40000, 0.448042, 28.114515
45000, 0.509488, 28.001156
50000, 0.564201, 27.974380
55000, 0.622723, 28.082723
60000, 0.673871, 28.048567
65000, 0.741581, 27.894628
70000, 0.783309, 28.123997
75000, 0.846778, 28.023984
80000, 0.895153, 28.125869
85000, 0.951055, 28.121708
90000, 1.012227, 28.019222
95000, 1.063448, 28.101117
100000, 1.118549, 28.127095
