num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.029045, 64.599609
10000, 0.056587, 63.855316
15000, 0.083290, 64.617794
20000, 0.108969, 64.222145
25000, 0.136864, 64.487875
30000, 0.169342, 64.842231
35000, 0.191399, 64.396387
40000, 0.228241, 64.656621
45000, 0.255678, 63.955508
50000, 0.271616, 64.264932
55000, 0.298525, 65.033764
60000, 0.328726, 64.704655
65000, 0.358374, 64.160137
70000, 0.383758, 64.538456
75000, 0.408220, 65.149001
80000, 0.438925, 64.507701
85000, 0.466715, 64.618697
90000, 0.492270, 64.630820
95000, 0.529301, 64.754976
100000, 0.543249, 64.793652
