target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s)
2000,0.277,0.287,1988.0
4000,0.202,0.203,3926.0
6000,0.141,0.164,5858.0
8000,0.13,0.152,7806.0
10000,0.117,0.111,9708.0
12000,0.107,0.112,11574.0
14000,0.13,0.126,13449.0
16000,0.143,0.15,15232.0
18000,0.149,0.161,17050.0
20000,0.141,0.146,18921.0
22000,0.165,0.16,20449.0
24000,0.171,0.177,20222.0
26000,0.169,0.17,20639.0
28000,0.149,0.157,21074.0
30000,0.156,0.17,20366.0
32000,0.159,0.162,21574.0
34000,0.147,0.145,22988.0
36000,0.156,0.153,22421.0
38000,0.161,0.185,19821.0
40000,0.175,0.172,20345.0
42000,0.175,0.176,19762.0
44000,0.172,0.158,20876.0
46000,0.165,0.166,20920.0
48000,0.154,0.155,22598.0
50000,0.166,0.164,20768.0

