target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s)
2000,0.843,0.877,1978.0
4000,0.325,0.361,3951.0
6000,0.512,0.542,5908.0
8000,0.541,0.573,6775.0
10000,0.529,0.602,6491.0
12000,0.584,0.617,6369.0
14000,0.543,0.585,6697.0
16000,0.582,0.621,6365.0
18000,0.56,0.597,6559.0
20000,0.551,0.58,6613.0
22000,0.546,0.599,6493.0
24000,0.561,0.59,6548.0
26000,0.585,0.62,6349.0
28000,0.544,0.582,6736.0
30000,0.525,0.578,6715.0
32000,0.555,0.596,6596.0
34000,0.539,0.579,6798.0
36000,0.566,0.591,6585.0
38000,0.549,0.58,6682.0
40000,0.516,0.567,7020.0
42000,0.555,0.594,6563.0
44000,0.609,0.63,6184.0
46000,0.541,0.578,6740.0
48000,0.598,0.64,6080.0
50000,0.594,0.626,6213.0
