target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s)
2000,0.372,0.384,1997.0
4000,0.346,0.352,3992.0
6000,0.279,0.294,5979.0
8000,0.25,0.267,7964.0
10000,0.198,0.215,9948.0
12000,0.181,0.194,11924.0
14000,0.174,0.184,13891.0
16000,0.162,0.173,15859.0
18000,0.168,0.175,17833.0
20000,0.165,0.178,19778.0
22000,0.16,0.173,21605.0
24000,0.161,0.173,22143.0
26000,0.16,0.169,22449.0
28000,0.158,0.163,23609.0
30000,0.159,0.166,23193.0
32000,0.153,0.16,23140.0
34000,0.157,0.164,23310.0
36000,0.157,0.167,22773.0
38000,0.148,0.154,24657.0
40000,0.162,0.17,22709.0
42000,0.152,0.158,23969.0
44000,0.16,0.167,23250.0
46000,0.149,0.157,24207.0
48000,0.159,0.17,22706.0
50000,0.15,0.16,23582.0


