target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s)


target_tput(ops/s),av_lat(ms),max_tput(ops/s)
2000,0.319,1991.0
4000,0.218,3957.0
6000,0.118,5915.0
8000,0.087,7884.0
10000,0.107,9807.0
12000,0.075,11682.0
14000,0.075,13636.0
16000,0.093,14669.0
18000,0.078,17411.0
20000,0.076,19035.0
22000,0.078,21082.0
24000,0.08,22288.0
26000,0.077,23237.0
28000,0.079,22488.0
30000,0.077,23419.0
32000,0.076,23400.0
34000,0.079,22140.0
36000,0.076,23419.0
38000,0.081,22075.0
40000,0.078,22607.0
42000,0.076,23346.0
44000,0.083,21489.0
46000,0.082,21945.0
48000,0.083,21428.0
50000,0.082,22091.0
